	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	as.factor.gene_marks.
Tr_00069	0.256055019032352	-0.0602010513047316	-0.0805633815752551	-0.19521781596201002	0.133898410800532	-0.13214075162803401	0.131498998250071	-0.0463905794913501	-0.07530152980278701	0.0911785051411596	-0.0232926321793285	0.017217578062854	-0.0341631750175658	-0.0349490584285866	0.0756010093138264	-0.0702680167517439	-0.0739772622772054	-0.11718197517730498	0.0155692775889594	-0.00235725825405439	-0.0264730741885815	0.0138698074487223	-0.0103531568704674	0.00682456968856489	-0.00193149035637072	0.00853576251510021	-0.00137690513932886	blue
Tr_00070	0.4308956931941	0.0393548331754112	0.0984270027900064	-0.21441995778991502	0.17740324051665302	-0.0685108216041882	0.0428920368658853	-0.0296772293423689	-0.0285034872117627	0.0202831973365341	0.00227212145057956	0.0385160664041155	-0.0893168695028274	-0.0850661968783296	0.08466271408809	0.0607930184179013	0.00476816643529666	0.0222633614070205	0.0383279638452153	0.0156375233904408	0.00913844467435264	0.00305912672572826	-0.0038329700126893103	0.0014235538288296	-0.00236873797317227	0.00514322706653045	-0.00298815029498323	blue
Tr_00193	0.23072413060889496	0.0148596769362175	-0.31141648713121506	-0.0227570372727279	0.0803830618679664	-0.209134566867174	-0.123667922146095	0.0596578492330668	0.0893957349415444	-0.0045913192484496	0.0512001344075696	0.134042581967209	-0.160023084943924	-0.00571044649131027	0.00150907414885179	0.0255877907881116	0.0863771890350863	0.0239897743041167	0.0807055455733484	-0.0131233045721996	-0.0150319117943022	-0.0132377407942196	-0.00508922400010243	-0.0074083331021223	-0.00607297352702919	-0.00592443052013482	0.0032475605338679998	blue
Tr_00194	-0.090533112862888	0.0736923920582113	0.0415066315575069	-0.10804032030275999	0.19585248047444298	0.0267304190630961	-0.122697183019815	-0.00886225939950556	0.0128471521562274	-0.0612867488284222	-0.00555866940289301	0.0623196996344187	0.0301825909212841	-0.00196011627229441	-0.0317245302385697	-0.0172200221355409	0.00938032680678818	0.00303983164222034	-0.0150520885026606	-0.00609244648592502	-0.0030242932678143197	-0.00038072999328251603	0.00164614437007815	-0.00172122601323702	0.000221959877934794	-0.0018216879871039199	0.000374664171402187	blue
Tr_00197	-0.123817666232915	0.11144231649754201	0.12910455337025	-0.0601683884283699	0.13572914318698	-0.0703701440691739	-0.0940864337559203	0.0162610454100656	0.03556242393689701	-0.00871236759088212	0.0211298829606594	0.0232699368222431	0.0395391809308098	0.0501308385777394	-0.0324562005248079	0.0155945599100493	0.00302846344745058	-0.007164529243865609	0.0270340708809202	-0.0119101151671402	-0.0056430353222499206	-0.000458449445670637	0.00137866382694302	-0.00132960898850944	0.00025181026434461	-0.00265353218453584	0.000496828186336619	blue
Tr_00198	-0.111384685496429	0.00395571510443757	-0.0403087759491392	-0.0679422450591411	0.0632766867472399	-0.160121132846056	0.0162986827711472	0.0171569741705379	0.0380842843632532	0.0456168993331242	0.000844203534717535	-0.0191099359907618	0.0300702287396868	0.0537877091196163	-0.0307087027913692	0.0239143452840182	0.0117996573053228	0.00925208970352716	0.0225946457878475	-0.0102231131874532	-0.004968504572659	-0.000340627482640459	0.00108319851025233	-0.00109047938065291	9.70203751208851e-05	-0.00104868118402175	0.000247788599330403	blue
Tr_00200	-0.0028178253593790603	0.127594400257762	0.104975609668553	-0.0933532801156065	-0.0114117010543777	-0.225061159411822	-0.0375508742538547	0.0185674280763553	0.0356218684565052	-0.0318897471479778	-0.0246397760139671	0.0357951153551468	0.0305969216793159	-0.0049500982862174395	-0.0342207742014026	-0.0142150968424572	0.013485871426424	0.0231580342964248	-0.0226526002430894	-0.00241593777034927	-0.000327742448442152	-0.000682823787937863	0.0035961963687218797	-0.00254858487557982	0.00124056544379096	-0.00254699790927335	0.000272069697368929	blue
Tr_00201	0.130825052210914	-0.00736906935888893	-0.199876752752265	-0.14663375208378102	0.0279510009690084	-0.173550142481252	-0.0485101211082337	-0.0115445698041561	-0.0316357888963745	-0.0427022367562421	-0.0355798225947658	0.0679268197855227	0.0358485455683025	-0.011842207277432	-0.0315080009890142	-0.0247931622649758	-0.0144654968871735	-0.03750822829645299	0.021291935770630998	-0.022897296006892998	-0.0123095052595613	0.000428058086171602	-0.000320756584057882	-8.09067942521543e-05	0.00197082536417831	-0.0028811263912611	0.0005210722773380219	blue
Tr_00202	0.397738416697718	0.0774127806717435	0.0149853205857831	-0.157470461888307	0.10174950917829399	-0.0436433504168195	-0.0319745830045064	0.00488354976476127	0.10117635994427002	-0.0575847480145198	-0.0265347584204202	0.031459024497193	-0.0255008301240225	-0.0117038135904313	-0.0496117531047014	0.0339294144418081	0.0172912263424346	0.0115389442929907	0.00887766790578323	-0.0102356398352819	-0.0023167509380669802	-0.000390844590667566	0.00198148711224837	-0.0015402515359620001	0.0018623499572815103	-0.0051225890941994	0.00151268107535899	blue
Tr_00203	-0.0942910135931034	0.104509324570428	0.0266549342710244	-0.05538567225721201	0.0592920143630902	0.131496661160063	-0.0675323360303792	0.0010433920202709802	-0.0185414277702169	-0.0446715495064987	-0.0117871620398231	0.083207797287541	0.00531802322041381	0.00860740634966053	0.021810784341843	0.0043231183327468795	-0.0028626597463444698	0.005475810586753621	-0.00438831060209936	-0.00368395648636365	0.00271823620002515	-0.000892212246138374	0.0027912165742421603	0.00015354343301432399	0.00010388272652266899	0.000141234734135946	-0.00025773237784659	blue
Tr_00204	-0.0811248491595287	0.00322618621266775	-0.129400604438703	-0.0596369156229201	-0.00251930385234932	0.0420411568016419	0.0280937819389155	0.0008802022419239779	-0.0132694090932287	0.00535424315019409	-0.0267684734853295	0.0409844346284506	-0.00627314874203838	0.0121893350319677	0.0177747158929632	0.0112429982550427	0.00844261108300112	0.0166547992699623	-0.00907513478504108	0.004245467318084221	0.00707725781388485	-0.00024533280888389104	0.00377430158427739	0.007292155040208721	-0.0007094663161986889	0.00112167539181854	-0.000422252135396897	blue
Tr_00206	-0.12477647597817501	0.136913064382884	0.107456871497065	-0.0150199057648084	0.0124731488576752	0.0387111735131916	-0.0447242661148981	0.0225009138791638	0.00273980425261941	0.0010830502013859699	0.0121689072613194	0.0477482460062437	0.0144692834389166	0.0523829606895025	0.0187997405515227	0.0302391530503985	-0.008054316879416691	-0.00446914437240916	0.0272196325344176	-0.007887734248785491	0.0007559012133856389	-0.00177405907952856	0.00123056553208691	-0.00102290832486835	0.000898083743530404	-0.000465922720434187	-0.0005810690131202531	blue
Tr_00207	-0.112832573042679	0.0383487229326701	-0.045134903986668	-0.0229357465629319	-0.0474957733454313	-0.0446678987791555	0.0479836819584826	0.0224533659122746	0.007013058995764871	0.0455996296702908	-0.0045996387560438895	0.0110442830051542	0.00676099893273446	0.0527796759319375	0.0171126563988233	0.0322405908041678	-0.000186832067753923	0.0032638494467967	0.0217823348471687	-0.0037727466113196603	0.00149682133674926	0.000177172907069198	0.000432631731198673	0.00281973107562435	0.000250049535886452	-0.000649077618535361	-0.000297582687488842	blue
Tr_00209	-0.0149807900796915	0.15615322356169598	0.0830996788527578	-0.0384613497698861	-0.13017939694418498	-0.084813530429208	0.007446630597148091	0.0256753462827554	-0.0007189924401571111	-0.0186633739341874	-0.0281907396518649	0.0634952849690064	0.00512611292529547	0.007393735827163109	0.0223062817153025	0.00709324465510716	-0.0010193646729673	0.0200114073682956	-0.009157789821465	-0.00147082145879641	0.0011086708858919	-0.0035312876994289203	0.00367316637424879	-0.00193074554485563	0.000130525298572647	0.00103748458816675	-0.000676335796872862	blue
Tr_00210	0.10490800873169501	0.0381263613134144	-0.19374429728206602	-0.0787223902711978	-0.10691281585794501	-0.0302520523909622	0.0016334703453212802	0.00146372083909212	-0.0600501659419838	-0.0275076332013913	-0.0372938114390206	0.0987848873668322	-5.4566870120319e-05	0.00101661459519068	0.0302186845266646	0.00213901635500203	-0.0183167695152819	-0.0233523408356544	0.0312969900156718	-0.017235897468531002	-0.00282519717848192	-0.00301218379325034	-0.00130879459587555	0.0012687792491196698	0.0007617939894408231	-0.00183505368917107	0.000114917397642053	blue
Tr_00211	0.345430350381468	0.120689013578491	-0.00134880476658569	-0.0825243516968623	-0.0543557363508901	0.0986447831311905	0.022592948890569002	0.0176842807540522	0.0484695667625209	-0.0352095419799591	-0.0301219362811691	0.0752671158254305	-0.0549448056753003	0.00411737515448715	0.0240976394314256	0.0494324058778058	-9.90810969871777e-05	0.0118471465375284	0.0190397109577371	-0.0111991195342066	0.00100321156978648	-0.00468197777968708	-0.00319949318139835	-0.000173615485739781	0.000271129755078594	-0.000773969443665333	0.000431882826199977	blue
Tr_00213	-0.12477647597817501	0.136913064382884	0.107456871497065	-0.0150199057648083	0.0124731488576752	0.0387111735131916	-0.0447242661148981	0.0225009138791639	0.00273980425261941	0.0010830502013859699	0.0121689072613194	0.0477482460062438	0.0144692834389166	0.0523829606895025	0.0187997405515226	0.0302391530503984	-0.00805431687941675	-0.00446914437240923	0.0272196325344175	-0.00788773424878548	0.000755901213385528	-0.0017740590795285	0.0012305655320868699	-0.00102290832486815	0.000898083743530249	-0.000465922720434509	-0.000581069013120149	blue
Tr_00214	-0.112832573042679	0.0383487229326701	-0.045134903986668	-0.0229357465629319	-0.0474957733454312	-0.0446678987791555	0.0479836819584827	0.0224533659122746	0.00701305899576486	0.0455996296702908	-0.004599638756043921	0.0110442830051543	0.00676099893273446	0.0527796759319375	0.0171126563988233	0.0322405908041678	-0.000186832067753893	0.00326384944679663	0.0217823348471687	-0.00377274661131963	0.00149682133674915	0.000177172907069315	0.000432631731198526	0.00281973107562414	0.000250049535886275	-0.0006490776185352889	-0.00029758268748883703	blue
Tr_00216	-0.0942910135931034	0.104509324570428	0.0266549342710244	-0.05538567225721201	0.0592920143630902	0.131496661160063	-0.0675323360303792	0.00104339202027099	-0.018541427770216997	-0.0446715495064987	-0.0117871620398231	0.0832077972875411	0.00531802322041377	0.008607406349660491	0.0218107843418431	0.00432311833274679	-0.0028626597463444897	0.00547581058675358	-0.00438831060209945	-0.0036839564863635796	0.00271823620002525	-0.000892212246138303	0.00279121657424227	0.000153543433014363	0.00010388272652269	0.000141234734135478	-0.000257732377846518	blue
Tr_00219	0.10490800873169501	0.0381263613134144	-0.19374429728206602	-0.0787223902711978	-0.106912815857946	-0.0302520523909622	0.00163347034532129	0.00146372083909212	-0.0600501659419839	-0.0275076332013913	-0.0372938114390206	0.0987848873668322	-5.456687012032079e-05	0.00101661459519064	0.0302186845266646	0.00213901635500198	-0.0183167695152818	-0.0233523408356544	0.0312969900156718	-0.0172358974685311	-0.0028251971784819603	-0.00301218379325032	-0.0013087945958756	0.0012687792491199	0.000761793989440925	-0.00183505368917105	0.00011491739764233402	blue
Tr_00220	0.345430350381468	0.120689013578491	-0.00134880476658571	-0.0825243516968623	-0.0543557363508901	0.0986447831311905	0.022592948890569002	0.0176842807540523	0.0484695667625209	-0.035209541979959	-0.0301219362811692	0.0752671158254305	-0.0549448056753003	0.00411737515448722	0.0240976394314257	0.0494324058778058	-9.908109698715379e-05	0.0118471465375286	0.019039710957737	-0.0111991195342066	0.00100321156978645	-0.00468197777968712	-0.00319949318139848	-0.000173615485739798	0.00027112975507840296	-0.000773969443664975	0.00043188282620002595	blue
Tr_00239	-0.0065705940790438	0.16402447677831603	0.0816050513399518	-0.0475425835132868	-0.159501601103843	-0.0554323735246766	-0.0281733845488136	0.0779855691223083	-0.0360524191979453	0.0665617946871237	0.053947824342918	0.00734956316260735	0.0264394646824055	-0.0704421594562007	-0.0543021530890486	-0.0178958981745769	0.014597002446991001	0.0240592666005771	-0.0155727274781359	0.00605112118847808	0.00354569318724123	-0.00211679480479293	0.00031417554736342404	-0.000480666306830389	5.1283815538626895e-05	-0.0014627200572815198	-6.333133081235041e-05	blue
Tr_00240	-0.11454896930937801	0.145465080739562	0.10484454251001599	-0.0226400838713764	-0.0104068944888858	0.0685278527509004	-0.0805983634666155	0.0689735401461863	-0.0305097509303498	0.0781352913540032	0.0878909149845804	-0.00152336248381735	0.0346514191918505	-0.0122914189583608	-0.0505683874355954	0.0119950618050925	0.005729501305764871	-0.00711370046429467	0.0339302250344204	-0.00458954790514656	-0.00236104255684275	-0.00141770155277993	-0.000807886764705038	2.30929568032661e-05	4.1345349852899605e-05	0.000612680563409704	-0.000102931680705734	blue
Tr_00241	-0.10431516553720098	0.0470784118767215	-0.0483271304593729	-0.0329190139092786	-0.0718388174505857	-0.015329727749461999	0.0203113512690908	0.0687449373108952	-0.0229398159702063	0.12408746604110699	0.0658923908652182	-0.0412720266477001	0.0272273927484105	-0.00824630116069474	-0.0476839933275747	0.0184075336041159	0.0150904985884825	0.0129494634633008	0.0265324793058971	-0.00335914190086575	-0.0043635520715014	0.000851386645188769	0.0017809952541873399	-0.00135449326108265	0.00036174955116644	-0.000167976895160868	-6.61377276554706e-06	blue
Tr_00243	-0.0849329539325408	0.112898904368231	0.0244533574147829	-0.0632295186704099	0.0354698251870811	0.163992511774986	-0.105518235696423	0.0494790885268573	-0.0540767799906456	0.0353108955065822	0.0675341498712556	0.0322457019939048	0.0258649913919105	-0.0636499648161852	-0.0505839926511947	-0.0188076700867945	0.0121026731483052	0.00321471942025683	-0.00669353269719449	0.0018984761968491302	4.8404065298021296e-05	-0.00019684761858371102	-0.00024324504111457	-0.000526878531213723	0.000492719170748535	-0.0005945469655640429	-5.03657720054403e-06	blue
Tr_00244	-0.0738374677701614	0.0111732624435386	-0.133169803307636	-0.0708737109070737	-0.0277288140043321	0.0742029803773033	-0.000381822780158558	0.04869891597372	-0.0449993288686351	0.0854044700323112	0.0457252744759523	-0.0119006857504492	0.0150882259224243	-0.0559555918214966	-0.0485414722145425	-0.00758408325616376	0.0241289928919544	0.0276919656284005	-0.0141361742387168	0.00612815495250205	0.00174841647078662	0.000994213864660063	0.00426773556169372	-0.000709434715353495	0.0009348588112504369	-0.00210214962468755	0.000157884075357515	blue
Tr_00246	0.11026892386141401	0.0472914360074111	-0.19220523639085396	-0.09080607834162101	-0.136152196398117	0.00596427710776412	-0.0356201237443663	0.056520627601255	-0.10205446617898199	0.0652560356519956	0.0493219296788876	0.0342578732473513	0.025718307633276	-0.0873650596934115	-0.0522712986047283	-0.0265479664100995	-0.0038814959374701297	-0.0311506232357407	0.0324131464283315	-0.0173311623643661	-0.016096677502024	0.0016529252803548801	-0.00252990852982285	0.00073288529747359	0.0008877018638678211	-0.00165904176790214	0.000666321957668109	blue
Tr_00247	0.34235171630648503	0.12818664571031602	-0.0044068031351423296	-0.0947974960888878	-0.0881047176584181	0.134519466626842	-0.0217597970736545	0.0778953460114597	0.00347295097869979	0.0664434381504051	0.0683803388058894	0.00270929254423111	-0.0340240929028294	-0.0993482042578192	-0.0746527886330668	0.0298848987802556	0.017990673772113	0.00241923573760562	0.0171908714410152	0.0032396587937332	0.00325621365053221	-0.0018193068923695102	0.00130458928154607	-0.0013917274306500002	0.000898326781864961	-0.0022157195015242697	0.00044248700065290593	blue
Tr_00248	-0.132642860073696	0.139251253495215	-0.007288312562127379	0.0373782366094035	0.0949891398833617	0.131318872414487	-0.10309816520222399	0.041740077438776	0.0425832019722529	-0.0104209712148238	0.0299112487529457	0.13814963839815803	-0.0932504702414752	0.0122202664231014	0.0529071102812685	-0.0646649822360389	0.0359850568911628	0.00643651338361175	-0.0162998878460886	-0.00867229448200113	-0.0211880710506182	-0.0016944548608819401	-0.0135550780412398	0.00496872737272595	-0.0036261758694641796	-0.00223458189700223	0.0031500281840635	blue
